Region,District,Address,Start Date,Start Time,End Date,End Time,Type of Work,RES,Other
Ленинградская область,р-н Тихвинский,"д. Сашково, Тумово, Сукса, Вахрушево, Серёдка",11-04-2024 11:00,11:00,11-04-2024 16:00,16:00,Тихвинские ЭС,Тихвинский РЭС,"Кратковременно, на время оперативных переключений.",
Санкт-Петербург,Невский район,"ул Ярослава Гашека, дом 10, корп 2, литера А  ул Ярослава Гашека, дом 10/85, литера А",11-04-2024 11:00,11:00,11-04-2024 17:00,17:00,Кабельная сеть,Невский РЭС,,c2afe783-a2dc-4a7c-b3c9-6d8c1ce000c91d80a57c-9dbc-46f2-acd7-82a13f257f55
Санкт-Петербург,Красногвардейский район,"пр-кт Малоохтинский, дом 51, стр А  пр-кт Малоохтинский, дом 52, стр А",11-04-2024 10:30,10:30,11-04-2024 17:30,17:30,Кабельная сеть,Правобережный РЭС,,2c0ef231-b463-40b6-8697-e2c19762a1ff1084bbd6-a9cf-4107-b2b3-314e4c106e8d
Ленинградская область,р-н Всеволожский,д Аро,11-04-2024 10:22,10:22,11-04-2024 16:22,16:22,Северные электрические сети,Всеволожский РЭС,,dc681d58-d6c2-446c-9002-b7f74b102163
Ленинградская область,р-н Всеволожский,,11-04-2024 10:11,10:11,11-04-2024 18:11,18:11,Северные электрические сети,Всеволожский РЭС,,
Ленинградская область,р-н Выборгский,"п Борки, ул Озерная",11-04-2024 10:00,10:00,11-04-2024 16:00,16:00,Выборгские ЭС,Рощинский РЭС,,00c21455-4ee2-4b46-94a6-c4007a38a951
Ленинградская область,р-н Тихвинский,д Захожа,11-04-2024 10:00,10:00,11-04-2024 16:00,16:00,Тихвинские ЭС,Тихвинский РЭС,,9dabbdac-c9f2-4c29-9ca5-14a863c7848a
Санкт-Петербург,Санкт-Петербург                        Приморский район,"ул. Савушкина д. 112 к. 2, ул. Савушкина д. 112 к. 2 лит. А, ул. Савушкина 112а.",11-04-2024 10:00,10:00,11-04-2024 18:00,18:00,Кабельная сеть,Западный РЭС,,130cea95-451e-41b5-87d1-472c34f7dc39
Санкт-Петербург,Невский район,"ул Белышева, дом 5/6, стр А",11-04-2024 10:00,10:00,11-04-2024 17:00,17:00,Кабельная сеть,Правобережный РЭС,по одному вводу,b809fe93-71e2-4166-aa0f-08fdbc885f59
Санкт-Петербург,Санкт-Петербург                        Приморский район,"ул. Камышовая д. 34 к. 2, ул. Камышовая д. 36 стр. 1, ул. Камышовая д. 38 к. 2",11-04-2024 10:00,10:00,11-04-2024 20:00,20:00,Кабельная сеть,Западный РЭС,,ec1fb65a-cb26-46b9-baef-4be3fdf43664
Санкт-Петербург,Красногвардейский район,"Энергетиков пр., д.54/2 52, 54/1",11-04-2024 10:00,10:00,11-04-2024 18:00,18:00,Кабельная сеть,Восточный РЭС,,
Санкт-Петербург,Санкт-Петербург,ул Старообрядческая,11-04-2024 10:00,10:00,11-04-2024 16:00,16:00,Кабельная сеть,Южный РЭС,,f93cbd5e-fc08-4e37-9043-a5a9ace5b38b
Ленинградская область,р-н Всеволожский,п Романовка,11-04-2024 10:00,10:00,11-04-2024 17:00,17:00,Северные электрические сети,Всеволожский РЭС,,b2fa82b5-f00b-4565-8e86-e319e1e6e6ca
Ленинградская область,р-н Кингисеппский,д Марфицы  д Лоузно,11-04-2024 10:00,10:00,11-04-2024 17:00,17:00,Кингисеппские ЭС,Кингисеппский РЭС,,795b9c7d-ee40-4ddc-a9ef-7d18668aa9771b507537-1293-4506-b4a4-5b6f1c5c0b3d
Ленинградская область,р-н Гатчинский,д Введенское,11-04-2024 10:00,10:00,11-04-2024 18:00,18:00,Гатчинские ЭС,Тосненский РЭС,Реконструкция ВЛ,7906d1fb-5089-4acb-86fe-2b25c4163c3b
